model,run
HadGEM3-GC31-LL,r45i1p1f3
HadGEM3-GC31-LL,r46i1p1f3
HadGEM3-GC31-LL,r47i1p1f3
HadGEM3-GC31-LL,r48i1p1f3
HadGEM3-GC31-LL,r49i1p1f3
HadGEM3-GC31-LL,r4i1p1f3
HadGEM3-GC31-LL,r50i1p1f3
HadGEM3-GC31-LL,r51i1p1f3
HadGEM3-GC31-LL,r52i1p1f3
HadGEM3-GC31-LL,r53i1p1f3
HadGEM3-GC31-LL,r54i1p1f3
HadGEM3-GC31-LL,r55i1p1f3
HadGEM3-GC31-LL,r56i1p1f3
HadGEM3-GC31-LL,r57i1p1f3
HadGEM3-GC31-LL,r58i1p1f3
HadGEM3-GC31-LL,r59i1p1f3
HadGEM3-GC31-LL,r5i1p1f3
HadGEM3-GC31-LL,r60i1p1f3
HadGEM3-GC31-MM,r1i1p1f3
HadGEM3-GC31-MM,r2i1p1f3
HadGEM3-GC31-MM,r3i1p1f3
HadGEM3-GC31-MM,r4i1p1f3
INM-CM4-8,r1i1p1f1
INM-CM5-0,r10i1p1f1
INM-CM5-0,r1i1p1f1
INM-CM5-0,r2i1p1f1
INM-CM5-0,r3i1p1f1
INM-CM5-0,r4i1p1f1
INM-CM5-0,r5i1p1f1
INM-CM5-0,r6i1p1f1
INM-CM5-0,r7i1p1f1
INM-CM5-0,r8i1p1f1
INM-CM5-0,r9i1p1f1
IPSL-CM6A-LR,r10i1p1f1
IPSL-CM6A-LR,r11i1p1f1
IPSL-CM6A-LR,r12i1p1f1
IPSL-CM6A-LR,r13i1p1f1
IPSL-CM6A-LR,r14i1p1f1
IPSL-CM6A-LR,r15i1p1f1
IPSL-CM6A-LR,r16i1p1f1
IPSL-CM6A-LR,r17i1p1f1
IPSL-CM6A-LR,r18i1p1f1
IPSL-CM6A-LR,r19i1p1f1
IPSL-CM6A-LR,r1i1p1f1
IPSL-CM6A-LR,r20i1p1f1
IPSL-CM6A-LR,r21i1p1f1
IPSL-CM6A-LR,r22i1p1f1
IPSL-CM6A-LR,r23i1p1f1
IPSL-CM6A-LR,r24i1p1f1
IPSL-CM6A-LR,r25i1p1f1
IPSL-CM6A-LR,r26i1p1f1
IPSL-CM6A-LR,r27i1p1f1
IPSL-CM6A-LR,r28i1p1f1
IPSL-CM6A-LR,r29i1p1f1
IPSL-CM6A-LR,r2i1p1f1
IPSL-CM6A-LR,r30i1p1f1
IPSL-CM6A-LR,r31i1p1f1
IPSL-CM6A-LR,r32i1p1f1
IPSL-CM6A-LR,r33i1p1f1
IPSL-CM6A-LR,r3i1p1f1
IPSL-CM6A-LR,r4i1p1f1
IPSL-CM6A-LR,r5i1p1f1
IPSL-CM6A-LR,r6i1p1f1
IPSL-CM6A-LR,r7i1p1f1
IPSL-CM6A-LR,r8i1p1f1
IPSL-CM6A-LR,r9i1p1f1
KACE-1-0-G,r1i1p1f1
KACE-1-0-G,r2i1p1f1
KACE-1-0-G,r3i1p1f1
MCM-UA-1-0,r1i1p1f1
MCM-UA-1-0,r1i1p1f2
MIROC-ES2L,r1i1p1f2
MIROC6,r10i1p1f1
MIROC6,r11i1p1f1
MIROC6,r12i1p1f1
MIROC6,r13i1p1f1
MIROC6,r14i1p1f1
MIROC6,r15i1p1f1
MIROC6,r16i1p1f1
MIROC6,r17i1p1f1
MIROC6,r18i1p1f1
MIROC6,r19i1p1f1
MIROC6,r1i1p1f1
MIROC6,r20i1p1f1
MIROC6,r21i1p1f1
MIROC6,r22i1p1f1
MIROC6,r23i1p1f1
MIROC6,r24i1p1f1
MIROC6,r25i1p1f1
MIROC6,r26i1p1f1
MIROC6,r27i1p1f1
MIROC6,r28i1p1f1
MIROC6,r29i1p1f1
MIROC6,r2i1p1f1
MIROC6,r30i1p1f1
MIROC6,r31i1p1f1
MIROC6,r32i1p1f1
MIROC6,r33i1p1f1
MIROC6,r34i1p1f1
MIROC6,r35i1p1f1
MIROC6,r36i1p1f1
MIROC6,r37i1p1f1
MIROC6,r38i1p1f1
MIROC6,r39i1p1f1
MIROC6,r3i1p1f1
MIROC6,r40i1p1f1
MIROC6,r41i1p1f1
MIROC6,r42i1p1f1
MIROC6,r43i1p1f1
MIROC6,r44i1p1f1
MIROC6,r45i1p1f1
MIROC6,r46i1p1f1
MIROC6,r47i1p1f1
MIROC6,r48i1p1f1
MIROC6,r49i1p1f1
MIROC6,r4i1p1f1
MIROC6,r50i1p1f1
MIROC6,r5i1p1f1
MIROC6,r6i1p1f1
MIROC6,r7i1p1f1
MIROC6,r8i1p1f1
MIROC6,r9i1p1f1
MPI-ESM1-2-HR,r10i1p1f1
MPI-ESM1-2-HR,r2i1p1f1
MPI-ESM1-2-HR,r3i1p1f1
MPI-ESM1-2-HR,r4i1p1f1
MPI-ESM1-2-HR,r5i1p1f1
MPI-ESM1-2-HR,r6i1p1f1
MPI-ESM1-2-HR,r7i1p1f1
MPI-ESM1-2-HR,r8i1p1f1
MPI-ESM1-2-HR,r9i1p1f1
MPI-ESM1-2-LR,r10i1p1f1
MPI-ESM1-2-LR,r1i1p1f1
MPI-ESM1-2-LR,r2i1p1f1
MPI-ESM1-2-LR,r3i1p1f1
MPI-ESM1-2-LR,r4i1p1f1
MPI-ESM1-2-LR,r5i1p1f1
MPI-ESM1-2-LR,r6i1p1f1
MPI-ESM1-2-LR,r7i1p1f1
MPI-ESM1-2-LR,r8i1p1f1
MPI-ESM1-2-LR,r9i1p1f1
MRI-ESM2-0,r10i1p1f1
MRI-ESM2-0,r1i1000p1f1
MRI-ESM2-0,r1i1p1f1
MRI-ESM2-0,r1i2p1f1
MRI-ESM2-0,r2i1p1f1
MRI-ESM2-0,r3i1p1f1
MRI-ESM2-0,r4i1p1f1
MRI-ESM2-0,r5i1p1f1
MRI-ESM2-0,r6i1p1f1
MRI-ESM2-0,r7i1p1f1
MRI-ESM2-0,r8i1p1f1
MRI-ESM2-0,r9i1p1f1
NESM3,r1i1p1f1
NESM3,r2i1p1f1
NESM3,r3i1p1f1
NESM3,r4i1p1f1
NESM3,r5i1p1f1
NorESM2-MM,r1i1p1f1
TaiESM1,r1i1p1f1
TaiESM1,r2i1p1f1
UKESM1-0-LL,r10i1p1f2
UKESM1-0-LL,r11i1p1f2
UKESM1-0-LL,r12i1p1f2
UKESM1-0-LL,r13i1p1f2
UKESM1-0-LL,r14i1p1f2
UKESM1-0-LL,r15i1p1f2
UKESM1-0-LL,r16i1p1f2
UKESM1-0-LL,r17i1p1f2
UKESM1-0-LL,r18i1p1f2
UKESM1-0-LL,r19i1p1f2
UKESM1-0-LL,r1i1p1f2
UKESM1-0-LL,r2i1p1f2
UKESM1-0-LL,r3i1p1f2
UKESM1-0-LL,r4i1p1f2
UKESM1-0-LL,r5i1p1f3
UKESM1-0-LL,r6i1p1f3
UKESM1-0-LL,r7i1p1f3
UKESM1-0-LL,r8i1p1f2
UKESM1-0-LL,r9i1p1f2
